Survey,Season,Year,Tow_Number,Region,Stratum,Grid,Date,Common_Name,Number_Caught,Weight_kg,Subsample_Weight_kg,Subsample_Weight_kg_2,Male_Wt_kg,Female_Wt_kg,Expanded_Catch,Expanded_Weight_kg
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Sea Bass Black,1,0.4,0,,,,1.176470588,0.470588235
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Skate Little,6,5.5,0,,,,7.058823529,6.470588235
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Skate Winter,4,6,0,,,,4.705882353,7.058823529
FL00,Fall,2000,1,1,2,392,2000-10-30T00:00:00Z,Squid Long Finned,25,3.5,0,,,,29.41176471,4.117647059
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Cod Atlantic,1,0.05,0,,,,1,0.05
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Crab Atlantic Rock,1,0.1,0,,,,1,0.1
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Dogfish Spiny,38,81,0,0,,,38,81
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Flounder Atlantic Windowpane (Sand Dab ),1,0.4,0,,,,1,0.4
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Flounder Atlantic Witch (Gray Sole),40,2,0,,,,40,2
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Flounder Fourspot,4,2.5,0,,,,4,2.5
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Flounder Winter,4,1.25,0,,,,4,1.25
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Flounder Yellowtail,2,1,0,,,,2,1
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Fourbeard Rockling,2,0.1,0,,,,2,0.1
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Hake Atlantic Red,99,13,0,,,,99,13
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Hake Silver (Whiting),410,20,6,,,,410,20
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Hake White,20,5.7,0,,,,20,5.7
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Lobster American,14,3.9,0,,2.8,1.1,14,3.9
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Monkfish,46,19,0,,,,46,19
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Plaice American (Dab),614,27,5.5,,,,614,27
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Scallop Sea,1,0.01,0,,,,1,0.01
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Sculpin Longhorn,3,0.5,0,,,,3,0.5
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Sea Anemone,1,0.1,0,,,,1,0.1
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Sea Bass Black,2,0.05,0,,,,2,0.05
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Searobin Northern,1,0.25,0,,,,1,0.25
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Shrimp,0,13,0,,,,0,13
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Squid Long Finned,0,5,0,,,,0,5
FL00,Fall,2000,2,1,3,409,2000-10-30T00:00:00Z,Stars Sea Brittle Baskets,4,0.02,0,,,,4,0.02
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Alligatorfish,1,0.02,0,,,,1,0.02
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Cod Atlantic,2,3.7,0,,,,2,3.7
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Crab Atlantic Rock,2,0.1,0,,,,2,0.1
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Crab Jonah,1,0.05,0,,,,1,0.05
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Flounder Atlantic Windowpane (Sand Dab ),4,0.8,0,,,,4,0.8
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Flounder Atlantic Witch (Gray Sole),1,0.02,0,,,,1,0.02
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Flounder Winter,34,4.6,0,,,,34,4.6
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Flounder Yellowtail,1,0.3,0,,,,1,0.3
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Hake Atlantic Red,5,0.7,0,,,,5,0.7
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Hake Silver (Whiting),71,5.5,0,,,,71,5.5
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Hake White,1,0.05,0,,,,1,0.05
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Lobster American,33,7,0,,4,3,33,7
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Monkfish,4,0.55,0,,,,4,0.55
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Plaice American (Dab),44,1.2,0,,,,44,1.2
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Pollock,1,0.2,0,,,,1,0.2
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Scads Rough,1,0.03,0,,,,1,0.03
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Scallop Sea,6,0.05,0,,,,6,0.05
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Sculpin Longhorn,56,8.4,0,,,,56,8.4
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Sea Raven,4,2.5,0,,,,4,2.5
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Skate Little,5,4,0,,,,5,4
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Skate Winter,1,6,0,,,,1,6
FL00,Fall,2000,3,1,1,472,2000-11-01T00:00:00Z,Squid Short-Finned,36,4,0,,,,36,4
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Butterfish,1,0.1,0,,,,1,0.1
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Cunner,8,1,0,,,,8,1
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Flounder Atlantic Windowpane (Sand Dab ),1,0.2,0,,,,1,0.2
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Flounder Winter,52,7.1,0,,,,52,7.1
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Flounder Yellowtail,15,3.3,0,,,,15,3.3
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Hake Atlantic Red,45,7,0,,,,45,7
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Hake Silver (Whiting),140,10,0,,,,140,10
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Herring Atlantic,4,0.7,0,,,,4,0.7
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Lobster American,47,13,0,,7.75,5.25,47,13
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Plaice American (Dab),4,0.2,0,,,,4,0.2
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Pollock,6,0.7,0,,,,6,0.7
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Scallop Sea,4,0.05,0,,,,4,0.05
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Sculpin Longhorn,83,7.5,0,,,,83,7.5
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Scup,12,0.8,0,,,,12,0.8
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Sea Bass Black,1,0.2,0,,,,1,0.2
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Sea Raven,1,0.6,0,,,,1,0.6
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Skate Little,7,5,0,,,,7,5
FL00,Fall,2000,4,1,2,445,2000-11-01T00:00:00Z,Skate Thorny,1,1,0,,,,1,1
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Alewife,7,0.5,0,,,,7,0.5
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Butterfish,6,1,0,,,,6,1
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Cod Atlantic,3,1.6,0,,,,3,1.6
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Flounder Atlantic Windowpane (Sand Dab ),1,0.25,0,,,,1,0.25
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Flounder Fourspot,4,2,0,,,,4,2
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Flounder Winter,60,14.5,0,,,,60,14.5
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Flounder Yellowtail,46,11,0,,,,46,11
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Hake Atlantic Red,27,4.5,0,,,,27,4.5
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Hake Silver (Whiting),149,10,0,,,,149,10
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Herring Atlantic,1,0.1,0,,,,1,0.1
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Lobster American,71,22.5,0,,15,7.5,71,22.5
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Monkfish,5,1,0,,,,5,1
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Plaice American (Dab),18,1.5,0,,,,18,1.5
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Redfish Acadian Ocean Perch,1,0.05,0,,,,1,0.05
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Sculpin Longhorn,24,4,0,,,,24,4
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Scup,10,0.5,0,,,,10,0.5
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Sea Raven,2,3,0,,,,2,3
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Skate Little,6,5.5,0,,,,6,5.5
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Skate Thorny,2,1.5,0,,,,2,1.5
FL00,Fall,2000,5,1,2,464,2000-11-01T00:00:00Z,Squid Long Finned,30,4.5,0,,,,30,4.5
FL00,Fall,2000,6,1,1,417,2000-11-01T00:00:00Z,Cod Atlantic,1,0.45,0,,,,1,0.45
FL00,Fall,2000,6,1,1,417,2000-11-01T00:00:00Z,Flounder Winter,24,7.5,0,,,,24,7.5
FL00,Fall,2000,6,1,1,417,2000-11-01T00:00:00Z,Flounder Yellowtail,4,0.9,0,,,,4,0.9
FL00,Fall,2000,6,1,1,417,2000-11-01T00:00:00Z,Lobster American,72,18,0,,11.75,6.25,72,18
FL00,Fall,2000,6,1,1,417,2000-11-01T00:00:00Z,Mackerel Atlantic,5,0.6,0,,,,5,0.6
FL00,Fall,2000,6,1,1,417,2000-11-01T00:00:00Z,Plaice American (Dab),3,0.3,0,,,,3,0.3
FL00,Fall,2000,6,1,1,417,2000-11-01T00:00:00Z,Scallop Sea,293,5.4,1.4,,,,293,5.4
FL00,Fall,2000,6,1,1,417,2000-11-01T00:00:00Z,Sculpin Longhorn,13,2.1,0,,,,13,2.1
FL00,Fall,2000,6,1,1,417,2000-11-01T00:00:00Z,Skate Little,6,5,0,,,,6,5
FL00,Fall,2000,6,1,1,417,2000-11-01T00:00:00Z,Squid Long Finned,38,5.5,0,,,,38,5.5
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Alewife,4,0.2,0,,,,4,0.2
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Butterfish,1,0.1,0,,,,1,0.1
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Cod Atlantic,1,0.9,0,,,,1,0.9
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Crab Atlantic Rock,2,0.5,0,,,,2,0.5
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Dogfish Spiny,40,93,0,0,,,40,93
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Flounder Atlantic Witch (Gray Sole),41,2,0,,,,41,2
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Flounder Fourspot,4,1,0,,,,4,1
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Flounder Winter,10,3.75,0,,,,10,3.75
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Hake Atlantic Red,183,22,0,,,,183,22
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Hake Silver (Whiting),1009,136,12,,,,1009,136
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Hake White,21,6.3,0,,,,21,6.3
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Herring Atlantic,1,0.1,0,,,,1,0.1
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Lobster American,18,8,0,,3,5,18,8
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Monkfish,24,3,0,,,,24,3
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Octopus Uncl,1,0.03,0,,,,1,0.03
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Plaice American (Dab),250,12.5,6,,,,250,12.5
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Redfish Acadian Ocean Perch,1,0.02,0,,,,1,0.02
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Scallop Sea,4,0.05,0,,,,4,0.05
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Sculpin Longhorn,2,0.3,0,,,,2,0.3
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Sea Raven,2,0.2,0,,,,2,0.2
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Searobin Northern,1,0.2,0,,,,1,0.2
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Shrimp Northern,66,1,0,,,,66,1
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Skate Little,3,2.5,0,,,,3,2.5
FL00,Fall,2000,7,1,3,368,2000-11-02T00:00:00Z,Squid Short-Finned,29,2,0,,,,29,2
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Alewife,6,0.5,0,,,,6,0.5
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Cod Atlantic,1,1.1,0,,,,1,1.1
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Crab Atlantic Rock,4,0.5,0,,,,4,0.5
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Dogfish Spiny,34,59,0,0,,,34,59
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Flounder Atlantic Witch (Gray Sole),17,1.2,0,,,,17,1.2
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Flounder Fourspot,2,0.5,0,,,,2,0.5
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Flounder Winter,7,2,0,,,,7,2
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Flounder Yellowtail,5,1.6,0,,,,5,1.6
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Hake Atlantic Red,240,24,13,,,,240,24
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Hake Silver (Whiting),572,69,13.5,,,,572,69
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Hake White,32,9.3,0,,,,32,9.3
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Herring Atlantic,22,1.8,0,,,,22,1.8
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Lobster American,59,20,0,,13,7,59,20
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Monkfish,19,6,0,,,,19,6
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Plaice American (Dab),154,7.5,0,,,,154,7.5
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Redfish Acadian Ocean Perch,1,0.05,0,,,,1,0.05
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Sculpin Longhorn,10,1.75,0,,,,10,1.75
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Scup,1,0.3,0,,,,1,0.3
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Sea Raven,1,0.25,0,,,,1,0.25
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Shrimp Northern,938,12.5,0,,,,938,12.5
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Skate Winter,2,5.5,0,,,,2,5.5
FL00,Fall,2000,8,1,3,305,2000-11-02T00:00:00Z,Squid Short-Finned,,1.5,0,,,,,1.5
FL00,Fall,2000,9,1,1,171,2000-11-03T00:00:00Z,Alewife,15,1,0,,,,21.42857143,1.428571429
FL00,Fall,2000,9,1,1,171,2000-11-03T00:00:00Z,Flounder Winter,8,1,0,,,,11.42857143,1.428571429
FL00,Fall,2000,9,1,1,171,2000-11-03T00:00:00Z,Hake Atlantic Red,3,0.3,0,,,,4.285714286,0.428571429
FL00,Fall,2000,9,1,1,171,2000-11-03T00:00:00Z,Hake Silver (Whiting),146,9.6,0,,,,208.5714286,13.71428571
FL00,Fall,2000,9,1,1,171,2000-11-03T00:00:00Z,Herring Atlantic,558,35,8.4,,,,797.1428571,50
FL00,Fall,2000,9,1,1,171,2000-11-03T00:00:00Z,Lobster American,87,14.25,0,,7.25,7,124.2857143,20.35714286
FL00,Fall,2000,9,1,1,171,2000-11-03T00:00:00Z,Mackerel Atlantic,12,2,0,,,,17.14285714,2.857142857
FL00,Fall,2000,9,1,1,171,2000-11-03T00:00:00Z,Monkfish,1,0.15,0,,,,1.428571429,0.214285714
FL00,Fall,2000,9,1,1,171,2000-11-03T00:00:00Z,Sculpin Longhorn,7,1.25,0,,,,10,1.785714286
FL00,Fall,2000,9,1,1,171,2000-11-03T00:00:00Z,Shad American,1,0.05,0,,,,1.428571429,0.071428571
FL00,Fall,2000,9,1,1,171,2000-11-03T00:00:00Z,Skate Little,1,1.3,0,,,,1.428571429,1.857142857
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Alewife,115,6.5,0,,,,115,6.5
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Cod Atlantic,2,3.4,0,,,,2,3.4
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Crab Atlantic Rock,1,0.5,0,,,,1,0.5
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Dogfish Spiny,30,44.5,0,0,,,30,44.5
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Flounder Atlantic Windowpane (Sand Dab ),2,0.05,0,,,,2,0.05
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Flounder Winter,34,4.5,0,,,,34,4.5
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Hake Atlantic Red,82,5,0,,,,82,5
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Hake Silver (Whiting),603,28,5.9,,,,603,28
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Hake White,12,1.55,0,,,,12,1.55
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Herring Atlantic,107,8,0,,,,107,8
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Lobster American,165,36.5,0,,20.5,16,165,36.5
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Mackerel Atlantic,68,11,0,,,,68,11
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Monkfish,9,2,0,,,,9,2
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Plaice American (Dab),18,1,0,,,,18,1
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Pollock,1,0.4,0,,,,1,0.4
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Redfish Acadian Ocean Perch,1,0.02,0,,,,1,0.02
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Sculpin Longhorn,31,4.5,0,,,,31,4.5
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Scup,9,0.4,0,,,,9,0.4
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Sea Raven,1,0.25,0,,,,1,0.25
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Shad American,3,0.5,0,,,,3,0.5
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Shrimp Dichelo,0,1,0,,,,0,1
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Shrimp Northern,1,0.02,0,,,,1,0.02
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Skate Little,4,3,0,,,,4,3
FL00,Fall,2000,10,1,2,68,2000-11-03T00:00:00Z,Squid Long Finned,6,0.75,0,,,,6,0.75
FL00,Fall,2000,11,1,1,11,2000-11-03T00:00:00Z,Crab Atlantic Rock,1,0.01,0,,,,1,0.01
FL00,Fall,2000,11,1,1,11,2000-11-03T00:00:00Z,Flounder Atlantic Windowpane (Sand Dab ),1,0.01,0,,,,1,0.01
FL00,Fall,2000,11,1,1,11,2000-11-03T00:00:00Z,Flounder Winter,4,1.3,0,,,,4,1.3
FL00,Fall,2000,11,1,1,11,2000-11-03T00:00:00Z,Lobster American,2,0.4,0,,0.2,0.2,2,0.4
FL00,Fall,2000,11,1,1,11,2000-11-03T00:00:00Z,Menhaden Atlantic,5,0.1,0,,,,5,0.1
FL00,Fall,2000,11,1,1,11,2000-11-03T00:00:00Z,Sea Raven,1,0.75,0,,,,1,0.75
FL00,Fall,2000,11,1,1,11,2000-11-03T00:00:00Z,Smelt Rainbow,32,1.7,0,,,,32,1.7
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Alewife,55,2.5,0,,,,55,2.5
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Crab Atlantic Rock,1,0.1,0,,,,1,0.1
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Dogfish Spiny,5,9.5,0,0,,,5,9.5
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Flounder Atlantic Windowpane (Sand Dab ),2,0.2,0,,,,2,0.2
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Flounder Fourspot,1,0.2,0,,,,1,0.2
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Flounder Winter,14,2.2,0,,,,14,2.2
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Hake Atlantic Red,45,3.5,0,,,,45,3.5
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Hake Silver (Whiting),527,21,4.5,,,,527,21
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Hake White,17,2.5,0,,,,17,2.5
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Herring Atlantic,2,0.1,0,,,,2,0.1
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Lobster American,383,70,16,17,42,28,383,70
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Monkfish,11,2.5,0,,,,11,2.5
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Plaice American (Dab),7,0.5,0,,,,7,0.5
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Pollock,1,0.1,0,,,,1,0.1
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Redfish Acadian Ocean Perch,2,0.05,0,,,,2,0.05
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Sculpin Longhorn,17,3,0,,,,17,3
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Scup,19,1,0,,,,19,1
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Shrimp,0,1,0,,,,0,1
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Skate Little,5,3,0,,,,5,3
FL00,Fall,2000,12,1,2,27,2000-11-04T00:00:00Z,Squid Short-Finned,17,1.5,0,,,,17,1.5
FL00,Fall,2000,13,1,3,96,2000-11-04T00:00:00Z,Alewife,693,45.5,6.5,,,,693,45.5
FL00,Fall,2000,13,1,3,96,2000-11-04T00:00:00Z,Butterfish,4,0.25,0,,,,4,0.25
FL00,Fall,2000,13,1,3,96,2000-11-04T00:00:00Z,Crab Atlantic Rock,1,0.15,0,,,,1,0.15
FL00,Fall,2000,13,1,3,96,2000-11-04T00:00:00Z,Dogfish Spiny,26,43,0,0,,,26,43
FL00,Fall,2000,13,1,3,96,2000-11-04T00:00:00Z,Flounder Atlantic Witch (Gray Sole),5,0.3,0,,,,5,0.3
