Survey,Season,Tow_Number,Region,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Common_Name,Number_Caught,Species,Abundance,MiFish,Leray,Ceph_18s,Surface_WaterTemp_DegC,Bottom_WaterTemp_DegC
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Haddock,2,Northern Krill,0.001,,0.04,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Hake Atlantic Red,184,Sea Pen,0.001,,0.023,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Hake Silver (Whiting),403,Ocean Quahog,0.001,,0.001,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Hake Silver (Whiting),2,Northern Cardita,0.001,,0.001,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Hake White,25,Squid Shortfin,0.05,,,0.071,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Monkfish,5,Squid Longfin,0.042,,,0.028,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Plaice American (Dab),43,Octopus Spoonarm,0.06,,,0.01,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Redfish Acadian Ocean Perch,3,,,,,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Scallop Sea,49,,,,,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Shrimp Dichelo,110,,,,,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Shrimp Northern,6,,,,,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Shrimp Norwegian,1,,,,,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Skate Barndoor,1,,,,,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Skate Thorny,1,,,,,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Squid Short-Finned,2,,,,,,15.4,7.7
FL23,Fall,20,2,43.488,-69.924,43.477,-69.937,Wrymouth,1,,,,,,15.4,7.7
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Butterfish,1,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Clam Ocean Quahog,1,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Crab Jonah,2,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Flounder Atlantic Witch (Gray Sole),5,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Flounder Winter,68,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Flounder Yellowtail,1,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Fourbeard Rockling,4,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Hake Atlantic Red,120,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Hake Silver (Whiting),7,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Hake Silver (Whiting),221,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Hake White,12,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Halibut Atlantic,1,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Herring Atlantic,3,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Krill,1,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Lobster American,41,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Octopus Spoonarm,1,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Plaice American (Dab),1,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Redfish Acadian Ocean Perch,1,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Shrimp Dichelo,31,,,,,,11.8,10.8
FL23,Fall,72,5,44.321,-67.559,44.312,-67.573,Shrimp Montagui,4,,,,,,11.8,10.8
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Alewife,7,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Butterfish,201,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Crab Atlantic Rock,4,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Crab Jonah,6,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Dogfish Spiny,2,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Flounder Winter,24,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Fourbeard Rockling,5,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Hake Atlantic Red,100,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Hake Silver (Whiting),1671,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Hake Silver (Whiting),3,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Hake White,31,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Herring Atlantic,3,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Lobster American,336,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Octopus Spoonarm,1,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Redfish Acadian Ocean Perch,2,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Sculpin Longhorn,29,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Sea Raven,1,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Shrimp Crangon,2,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Shrimp Dichelo,31,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Skate Little,4,,,,,,12.2,11.7
FL23,Fall,75,5,44.486,-67.506,44.473,-67.513,Squid Long Finned,1,,,,,,12.2,11.7
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Alewife,37,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Cod Atlantic,2,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Crab Jonah,6,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Flounder Atlantic Witch (Gray Sole),13,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Flounder Winter,4,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Flounder Yellowtail,2,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Haddock,15,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Hake Atlantic Red,79,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Hake Silver (Whiting),925,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Hake White,8,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Herring Blueback,3,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Lobster American,3,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Monkfish,1,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Plaice American (Dab),24,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Redfish Acadian Ocean Perch,56,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Scallop Sea,33,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Sculpin Longhorn,1,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Sea Sponges,2,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Shad American,2,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Shrimp Dichelo,145,,,,,,5.8,8.2
SP23,Spring,18,2,43.487,-69.925,43.477,-69.938,Shrimp Northern,40,,,,,,5.8,8.2
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Alewife,3,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Crab Jonah,3,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Flounder Atlantic Witch (Gray Sole),17,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Flounder Fourspot,1,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Fourbeard Rockling,1,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Haddock,4,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Hake Atlantic Red,117,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Hake Silver (Whiting),1501,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Hake White,13,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Herring Blueback,3,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Lobster American,2,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Monkfish,4,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Plaice American (Dab),25,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Pollock,1,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Redfish Acadian Ocean Perch,162,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Scallop Sea,222,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Sea Anemone,1,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Sea Sponges,1,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Shad American,2,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Shrimp Dichelo,51,,,,,,6.1,7.6
SP23,Spring,19,2,43.461,-69.837,43.449,-69.848,Shrimp Northern,16,,,,,,6.1,7.6
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Alewife,1,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Cod Atlantic,2,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Crab Jonah,10,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Dogfish Spiny,1,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Flounder Atlantic Witch (Gray Sole),47,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Flounder Fourspot,1,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Flounder Yellowtail,3,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Fourbeard Rockling,3,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Haddock,56,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Hake Atlantic Red,167,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Hake Silver (Whiting),3020,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Hake White,25,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Lobster American,1,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Monkfish,3,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Plaice American (Dab),24,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Pollock,1,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Redfish Acadian Ocean Perch,9,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Scallop Sea,155,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Sea Anemone,3,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Seaweed Unc,4,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Shrimp Dichelo,102,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Shrimp Northern,8,,,,,,9.1,6.3
SP23,Spring,20,2,43.455,-69.897,43.444,-69.91,Skate Thorny,2,,,,,,9.1,6.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Alewife,42,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Butterfish,1,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Crab Jonah,3,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Flounder Atlantic Witch (Gray Sole),2,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Flounder Fourspot,1,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Flounder Winter,47,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Haddock,1,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Hake Atlantic Red,21,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Hake Silver (Whiting),4799,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Hake White,7,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Herring Blueback,1,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Lobster American,1,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Lumpfish,1,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Octopus Spoonarm,2,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Plaice American (Dab),2,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Scallop Sea,9,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Shad American,1,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Shrimp Dichelo,97,,,,,,8.1,7.3
SP23,Spring,88,5,44.22,-67.743,44.233,-67.737,Shrimp Montagui,1,,,,,,8.1,7.3
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Alewife,22,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Crab Jonah,5,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Crab Toad,3,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Flounder Atlantic Windowpane (Sand Dab ),1,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Flounder Atlantic Witch (Gray Sole),1,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Flounder Winter,331,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Hake Atlantic Red,66,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Hake Silver (Whiting),171,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Hake White,4,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Halibut Atlantic,2,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Herring Blueback,1,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Jelly Comb,2,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Lobster American,30,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Monkfish,1,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Plaice American (Dab),1,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Redfish Acadian Ocean Perch,3,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Scallop Sea,2,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Sculpin Longhorn,20,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Seaweed Unc,3,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Shad American,2,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Shrimp Dichelo,214,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Shrimp Montagui,7,,,,,,7.9,7
SP23,Spring,94,5,44.421,-67.445,44.412,-67.46,Squid Long Finned,2,,,,,,7.9,7
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Alewife,6,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Alligatorfish,1,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Butterfish,1,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Crab Jonah,18,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Flounder Winter,82,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Hake Atlantic Red,17,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Hake Silver (Whiting),17,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Hake White,2,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Jelly Comb,2,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Lobster American,323,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Lumpfish,2,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Monkfish,2,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Northern Cyclocardia,1,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Sculpin Longhorn,17,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Sea Raven,1,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Shad American,1,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Shrimp Crangon,1,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Shrimp Dichelo,68,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Shrimp Montagui,1,,,,,,8.2,7.2
SP23,Spring,96,5,44.483,-67.508,44.47,-67.516,Squid Long Finned,3,,,,,,8.2,7.2
