Sample_ID,Sample_Type,Replicate,Sampler,Weather," ""Trawl",Starting_Latitude_(dd),Starting_Longitude_(dd),End_Latitude_(dd),End_Longitude_(dd),Region,Date,Start_Time,End_Time,Starting_Depth_(fathoms),Starting_Depth_(m),End_Depth_(fathoms),End_Depth_(m),Notes,Extraction_Date,Extraction_Protocol,Extraction_Person,Qubit_(ng/ul) Sample 1,Qubit_(ng/ul) Sample 2,Qubit_(ng/ul) Sample 3,Qubit_mean
Site01-S,slush,no,DeCorey_Bolton_Jr,Sunny,SP_23018,43.48,69.92,43.47,69.93,2,5/8/23,10:15 AM,10:36 AM,69.8,127.65,67.4,123.26,none,8-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,1.113,NA,NA,1.113
Site02-S,slush,no,DeCorey_Bolton_Jr,Sunny,SP_23019,43.46,69.83,43.45,69.84,2,5/8/23,11:56 AM,12:16 PM,80,146.3,75.1,137.34,none,1/16/24,Power Soil Extraction Kit,DeCorey_Bolton_Jr,4.02,NA,NA,4.02
Site03-S,slush,no,DeCorey_Bolton_Jr,Sunny,SP_23020,43.45,69.89,43.44,69.91,2,5/8/23,1:22 PM,1:42 PM,80.6,147.4,85.3,156,None,1/16/24,Power Soil Extraction Kit,DeCorey_Bolton_Jr,18.39,NA,NA,18.39
Site04-S,slush,no,DMR_Staff,Sunny,SP_23088,44.22,67.74,44.23,67.73,5,5/30/23,2:54 PM,3:14 PM,63.5,116.13,59.2,108.26,none,18-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,11.7,NA,NA,11.7
Site05-S,slush,no,DeCorey_Bolton_Jr,Cloudy,SP_23094,44.42,67.44,44.41,67.46,5,5/30/23,10:04 AM,10:24 AM,44.47,81.33,45.8,83.76,sample 1 fell on table while cuting,18-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,9.35,NA,NA,9.35
Site06-S,slush,no,DeCorey_Bolton_Jr,Cloudy,SP_23096,44.48,67.51,44.47,67.52,5,6/1/23,12:35 PM,12:56 PM,40.8,74.62,43.3,79.19,none,23-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,8.02,NA,NA,8.02
Site07-HR,top_metaprobe,no,DMR_Staff,Partly Cloudy,FL_23018,43.46,69.83,43.45,69.84,2,10/2/23,11:30 AM,11:50 AM,76,138.99,72.7,132.95,none,23-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,51.9,NA,NA,51.9
Site08-TN,top_metaprobe,no,DMR_Staff,Partly Cloudy,FL_23019,43.45,69.89,43.44,69.91,2,10/2/23,1:00 PM,1:20 PM,82.9,151.61,81.7,149.41,none,23-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,0,0,0.488,0.162666667
Site09-TN,top_metaprobe,no,DMR_Staff,Partly Cloudy,FL_23020,43.48,69.92,43.47,69.93,2,10/2/23,2:31 PM,2:51 PM,69.2,126.55,67.3,123.08,none,26-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,0,0,0,0
Site10-HR,top_metaprobe,no,DMR_Staff,Partly Cloudy,FL_23072,44.32,67.55,44.31,67.57,5,10/25/23,11:28 AM,11:48 AM,47.5,86.87,47.2,86.32,none,26-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,0,0,0,0
Site11_HR,top_metaprobe,no,DMR_Staff,Partly Cloudy,FL_23075,44.48,67.5,44.47,67.51,5,10/26/23,2:37 PM,2:57 PM,40.5,74.07,40.2,73.52,none,26-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,0,0,0,0
Site01-TN,top_metaprobe,no,DeCorey_Bolton_Jr,Sunny,SP_23018,43.48,69.92,43.47,69.93,2,5/8/23,10:15 AM,10:36 AM,69.8,127.65,67.4,123.26,none,1/4/24,Power Soil Extraction Kit,DeCorey_Bolton_Jr,0.674,0.575,NA,0.6245
Site02-TN,top_metaprobe,no,DeCorey_Bolton_Jr,Sunny,SP_23019,43.46,69.83,43.45,69.84,2,5/8/23,11:56 AM,12:16 PM,80,146.3,75.1,137.34,none,1/11/24,Power Soil Extraction Kit,DeCorey_Bolton_Jr,0.932,1.37,0.874,1.058666667
Site03-TN,top_metaprobe,no,DeCorey_Bolton_Jr,Sunny,SP_23020,43.45,69.89,43.44,69.91,2,5/8/23,1:22 PM,1:42 PM,80.6,147.4,85.3,156,sample 1 spin column top opened during centrifuge,1/16/24,Power Soil Extraction Kit,DeCorey_Bolton_Jr,0,0,0.486,0.162
Site04-HR,top_metaprobe,no,DMR_Staff,Sunny,SP_23088,44.22,67.74,44.23,67.73,5,5/30/23,2:54 PM,3:14 PM,63.5,116.13,59.2,108.26,none,18-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,0,0,0,0
Site05-HR,top_metaprobe,no,DeCorey_Bolton_Jr,Cloudy,SP_23094,44.42,67.44,44.41,67.46,5,5/30/23,10:04 AM,10:24 AM,44.47,81.33,45.8,83.76,none,18-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,0,0,0,0
Site06-HR,top_metaprobe,no,DeCorey_Bolton_Jr,Cloudy,SP_23096,44.48,67.51,44.47,67.52,5,6/1/23,12:35 PM,12:56 PM,40.8,74.62,43.3,79.19,none,23-Jan,Power Soil Extraction Kit,DeCorey_Bolton_Jr,0,0.599,0,0.199666667
