Survey,Season,Year,Tow_Number,Region,Stratum,Grid,Date,Starting_Depth(m),End_Depth(m),Bottom_Water_Temperature(C⁰),Surface_Water_Temperature(C⁰),sample_type,species,n_trawl_stations,n_trawl_stations_nonzero,mean_trawl_count,sd_trawl_count,mean_trawl_weight,sd_trawl_weight,mean_trawl_count_rel,sd_trawl_count_rel,mean_trawl_weight_rel,sd_trawl_weight_rel,n_edna_stations,n_edna_stations_detected,mean_edna_rel_read_count,sd_edna_rel_read_count
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23019,2,4,733,2023-10-02T00:00:00Z,151.61,149.41,7.5,15.6,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23072,5,3,562,2023-10-25T00:00:00Z,86.87,86.32,10.8,11.8,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
FL23,Fall,2023,FL_23075,5,3,244,2023-10-26T00:00:00Z,74.07,73.52,11.7,12.2,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23018,2,4,707,2023-05-08T00:00:00Z,127.65,123.26,8.2,5.8,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23019,2,4,736,2023-05-08T00:00:00Z,146.3,137.4,7.6,6.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,147.4,156,6.3,9.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,116.13,108.26,7.3,8.1,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,81.33,83.76,7,7.9,,,,,,,,,,,,,,,,
