Survey,Season,Year,Tow_Number,Region,Stratum,Grid,Date,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Starting_Depth(m),End_Depth(m),Mean_Depth(m),Bottom_Water_Temperature(C⁰),Surface_Water_Temperature(C⁰),trawl_id,species,Body_Type,trawl_count,trawl_weight,trawl_count_rel,trawl_weight_rel,bottom_metaprobe_rel_reads,slush_rel_reads,top_metaprobe_rel_reads,best_rel_reads
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,43.45,69.89,43.44,69.91,147.4,156,151.7,6.3,9.1,SP23020,Pandalus borealis,Crunchy,8,0.09,0.02888086643,0.02009825815,0,0,0,0
SP23,Spring,2023,SP_23020,2,4,733,2023-05-08T00:00:00Z,43.45,69.89,43.44,69.91,147.4,156,151.7,6.3,9.1,SP23020,Placopecten magellanicus,Crunchy,155,1.76,0.559566787,0.3930326038,0,0,0,0
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,44.22,67.74,44.23,67.73,116.13,108.26,112.195,7.3,8.1,SP23088,Bathypolypus arcticus,Slimy,2,0.04,0.01769911504,0.0162469537,0,0,0,0
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,44.22,67.74,44.23,67.73,116.13,108.26,112.195,7.3,8.1,SP23088,Cancer borealis,Crunchy,3,0.6,0.02654867257,0.2437043054,0,0,0,0
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,44.22,67.74,44.23,67.73,116.13,108.26,112.195,7.3,8.1,SP23088,Farfantepenaeus duorarum,Crunchy,97,0.37,0.8584070796,0.1502843217,0,0,0,0
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,44.22,67.74,44.23,67.73,116.13,108.26,112.195,7.3,8.1,SP23088,Homarus americanus,Crunchy,1,0.71,0.008849557522,0.2883834281,0,0,0,0
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,44.22,67.74,44.23,67.73,116.13,108.26,112.195,7.3,8.1,SP23088,Pandalus montagui,Crunchy,1,0.002,0.008849557522,8.12E-04,0.006392499467,0,0,0.002130833156
SP23,Spring,2023,SP_23088,5,4,681,2023-05-30T00:00:00Z,44.22,67.74,44.23,67.73,116.13,108.26,112.195,7.3,8.1,SP23088,Placopecten magellanicus,Crunchy,9,0.74,0.0796460177,0.3005686434,0,0,0,0
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,44.42,67.44,44.41,67.46,81.33,83.76,82.545,7,7.9,SP23094,Cancer borealis,Crunchy,5,1.18,0.01893939394,0.07266009852,0,0,0,0
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,44.42,67.44,44.41,67.46,81.33,83.76,82.545,7,7.9,SP23094,Ctenophora,Slimy,1,0.07,0.003787878788,0.004310344828,0,0,0,0
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,44.42,67.44,44.41,67.46,81.33,83.76,82.545,7,7.9,SP23094,Doryteuthis pealeii,Slimy,2,0.03,0.007575757576,0.00184729064,0,0,0,0
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,44.42,67.44,44.41,67.46,81.33,83.76,82.545,7,7.9,SP23094,Farfantepenaeus duorarum,Crunchy,214,0.61,0.8106060606,0.03756157635,0,0,0,0
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,44.42,67.44,44.41,67.46,81.33,83.76,82.545,7,7.9,SP23094,Homarus americanus,Crunchy,30,14.24,0.1136363636,0.8768472906,0,0,0,0
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,44.42,67.44,44.41,67.46,81.33,83.76,82.545,7,7.9,SP23094,Hyas coarctatus,Crunchy,3,0.01,0.01136363636,6.16E-04,0,0,0,0
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,44.42,67.44,44.41,67.46,81.33,83.76,82.545,7,7.9,SP23094,Pandalus montagui,Crunchy,7,0.02,0.02651515152,0.001231527094,0,0,0,0
SP23,Spring,2023,SP_23094,5,3,370,2023-06-01T00:00:00Z,44.42,67.44,44.41,67.46,81.33,83.76,82.545,7,7.9,SP23094,Placopecten magellanicus,Crunchy,2,0.08,0.007575757576,0.004926108374,0,0,0,0
SP23,Spring,2023,SP_23096,5,3,244,2023-06-01T00:00:00Z,44.48,67.51,44.47,67.52,74.62,79.19,76.905,7.2,8.2,SP23096,Cancer borealis,Crunchy,18,1.88,0.04326923077,0.02468163319,0,0,0,0
SP23,Spring,2023,SP_23096,5,3,244,2023-06-01T00:00:00Z,44.48,67.51,44.47,67.52,74.62,79.19,76.905,7.2,8.2,SP23096,Crangon vulgaris,Crunchy,1,0.002,0.002403846154,2.63E-05,0,0,0,0
SP23,Spring,2023,SP_23096,5,3,244,2023-06-01T00:00:00Z,44.48,67.51,44.47,67.52,74.62,79.19,76.905,7.2,8.2,SP23096,Ctenophora,Slimy,1,0.08,0.002403846154,0.001050282263,0,0,0,0
SP23,Spring,2023,SP_23096,5,3,244,2023-06-01T00:00:00Z,44.48,67.51,44.47,67.52,74.62,79.19,76.905,7.2,8.2,SP23096,Cyclocardia borealis,Crunchy,1,0.004,0.002403846154,5.25E-05,0,0,0,0
SP23,Spring,2023,SP_23096,5,3,244,2023-06-01T00:00:00Z,44.48,67.51,44.47,67.52,74.62,79.19,76.905,7.2,8.2,SP23096,Doryteuthis pealeii,Slimy,3,0.18,0.007211538462,0.002363135093,0,0,0,0
SP23,Spring,2023,SP_23096,5,3,244,2023-06-01T00:00:00Z,44.48,67.51,44.47,67.52,74.62,79.19,76.905,7.2,8.2,SP23096,Farfantepenaeus duorarum,Crunchy,68,0.18,0.1634615385,0.002363135093,0,0,0,0
SP23,Spring,2023,SP_23096,5,3,244,2023-06-01T00:00:00Z,44.48,67.51,44.47,67.52,74.62,79.19,76.905,7.2,8.2,SP23096,Homarus americanus,Crunchy,323,73.84,0.7764423077,0.9694105291,0,0,0,0
SP23,Spring,2023,SP_23096,5,3,244,2023-06-01T00:00:00Z,44.48,67.51,44.47,67.52,74.62,79.19,76.905,7.2,8.2,SP23096,Pandalus montagui,Crunchy,1,0.004,0.002403846154,5.25E-05,0,0,0,0
