sample_type,species,Body_Type,n_trawl_stations,n_trawl_stations_nonzero,mean_trawl_count,sd_trawl_count,mean_trawl_weight,sd_trawl_weight,mean_trawl_count_rel,sd_trawl_count_rel,mean_trawl_weight_rel,sd_trawl_weight_rel,n_edna_stations,n_edna_stations_detected,mean_edna_rel_read_count,sd_edna_rel_read_count
Bottom_metaprobe,Crangon vulgaris,Crunchy,11,2,0.2727272727,0.6466697907,5.45E-04,0.001293339581,6.96E-04,0.00167360156,8.48E-06,2.10E-05,11,0,0,0
Bottom_metaprobe,Ctenophora,Slimy,11,2,0.1818181818,0.4045199175,0.01363636364,0.03042128441,5.63E-04,0.001290010799,4.87E-04,0.00130651339,11,0,0,0
Bottom_metaprobe,Cyclocardia borealis,Crunchy,11,1,0.09090909091,0.3015113446,3.64E-04,0.001206045378,2.19E-04,7.25E-04,4.77E-06,1.58E-05,11,0,0,0
Bottom_metaprobe,Doryteuthis pealeii,Slimy,11,3,0.5454545455,1.035725481,0.02545454545,0.05574291639,0.001582906178,0.002978687309,4.89E-04,8.80E-04,11,0,0,0
Bottom_metaprobe,Euphausiacea,Crunchy,11,2,0.1818181818,0.4045199175,1.82E-04,4.05E-04,0.001410021452,0.003749139176,2.84E-05,7.90E-05,11,0,0,0
Bottom_metaprobe,Farfantepenaeus duorarum,Crunchy,11,11,92.90909091,53.68138326,0.2835,0.1569289648,0.4148005713,0.2782868737,0.0621509177,0.056051292,11,0,0,0
Bottom_metaprobe,Hyas coarctatus,Crunchy,11,1,0.2727272727,0.9045340337,9.09E-04,0.003015113446,0.001033057851,0.003426265279,5.60E-05,1.86E-04,11,0,0,0
Bottom_metaprobe,Pandalus borealis,Crunchy,11,6,7.545454545,11.94456894,0.088,0.1429770961,0.03009648949,0.05170073779,0.02233298224,0.03352130254,11,0,0,0
Bottom_metaprobe,Placopecten magellanicus,Crunchy,11,8,93.09090909,119.7776728,1.377272727,1.587268666,0.2936538906,0.3188739557,0.3425303637,0.3349832537,11,0,0,0
Bottom_metaprobe,Porifera spp.,Slimy,11,2,0.1818181818,0.4045199175,0.02454545455,0.06408800767,7.06E-04,0.001586495247,0.005621517997,0.01469802719,11,0,0,0
Slush,Homarus americanus,Crunchy,11,8,67,130.5534373,15.38454545,26.10685671,0.210046872,0.3412784696,0.4341589966,0.4220313445,11,1,9.61E-04,0.003186705268
Slush,Illex illecebrosus,Slimy,11,3,0.6363636364,1.120064933,0.1154545455,0.2074301635,0.002236663871,0.004090492858,0.0327191706,0.05740891011,11,1,2.42E-05,8.02E-05
Slush,Ophiuroidea,Slimy,11,1,0.09090909091,0.3015113446,9.09E-04,0.003015113446,1.93E-04,6.40E-04,1.56E-04,5.19E-04,11,1,7.69E-06,2.55E-05
Slush,Actiniaria,Slimy,11,2,0.1818181818,0.4045199175,0.006363636364,0.01530537636,6.35E-04,0.001414440463,0.001429627137,0.003427603152,11,0,0,0
Slush,Artica islandica,Crunchy,11,1,0.09090909091,0.3015113446,0.001818181818,0.006030226892,0.001122334456,0.003722362279,9.20E-05,3.05E-04,11,0,0,0
Slush,Bathypolypus arcticus,Slimy,11,3,0.3636363636,0.6741998625,0.004909090909,0.01204536878,0.002969951452,0.006128104425,0.001529084084,0.004883696322,11,0,0,0
Slush,Cancer borealis,Crunchy,11,10,5,5.196152423,0.7432727273,0.6698717923,0.01882149033,0.01417653432,0.09446452074,0.1271953883,11,0,0,0
Slush,Cancer irroratus,Crunchy,11,1,0.3636363636,1.206045378,0.01363636364,0.04522670169,9.54E-04,0.003165473434,2.28E-04,7.58E-04,11,0,0,0
Slush,Crangon vulgaris,Crunchy,11,2,0.2727272727,0.6466697907,5.45E-04,0.001293339581,6.96E-04,0.00167360156,8.48E-06,2.10E-05,11,0,0,0
Slush,Ctenophora,Slimy,11,2,0.1818181818,0.4045199175,0.01363636364,0.03042128441,5.63E-04,0.001290010799,4.87E-04,0.00130651339,11,0,0,0
Slush,Cyclocardia borealis,Crunchy,11,1,0.09090909091,0.3015113446,3.64E-04,0.001206045378,2.19E-04,7.25E-04,4.77E-06,1.58E-05,11,0,0,0
Slush,Doryteuthis pealeii,Slimy,11,3,0.5454545455,1.035725481,0.02545454545,0.05574291639,0.001582906178,0.002978687309,4.89E-04,8.80E-04,11,0,0,0
Slush,Euphausiacea,Crunchy,11,2,0.1818181818,0.4045199175,1.82E-04,4.05E-04,0.001410021452,0.003749139176,2.84E-05,7.90E-05,11,0,0,0
Slush,Farfantepenaeus duorarum,Crunchy,11,11,92.90909091,53.68138326,0.2835,0.1569289648,0.4148005713,0.2782868737,0.0621509177,0.056051292,11,0,0,0
Slush,Hyas coarctatus,Crunchy,11,1,0.2727272727,0.9045340337,9.09E-04,0.003015113446,0.001033057851,0.003426265279,5.60E-05,1.86E-04,11,0,0,0
Slush,Pandalus borealis,Crunchy,11,6,7.545454545,11.94456894,0.088,0.1429770961,0.03009648949,0.05170073779,0.02233298224,0.03352130254,11,0,0,0
Slush,Pandalus montagui,Crunchy,11,4,1.181818182,2.272363607,0.002727272727,0.005951317654,0.00792284284,0.01592266694,2.09E-04,4.17E-04,11,0,0,0
Top_metaprobe,Hyas coarctatus,Crunchy,11,1,0.2727272727,0.9045340337,9.09E-04,0.003015113446,0.001033057851,0.003426265279,5.60E-05,1.86E-04,11,0,0,0
Top_metaprobe,Illex illecebrosus,Slimy,11,3,0.6363636364,1.120064933,0.1154545455,0.2074301635,0.002236663871,0.004090492858,0.0327191706,0.05740891011,11,0,0,0
Top_metaprobe,Pandalus borealis,Crunchy,11,6,7.545454545,11.94456894,0.088,0.1429770961,0.03009648949,0.05170073779,0.02233298224,0.03352130254,11,0,0,0
Top_metaprobe,Pandalus montagui,Crunchy,11,4,1.181818182,2.272363607,0.002727272727,0.005951317654,0.00792284284,0.01592266694,2.09E-04,4.17E-04,11,0,0,0
Top_metaprobe,Placopecten magellanicus,Crunchy,11,8,93.09090909,119.7776728,1.377272727,1.587268666,0.2936538906,0.3188739557,0.3425303637,0.3349832537,11,0,0,0
Top_metaprobe,Porifera spp.,Slimy,11,2,0.1818181818,0.4045199175,0.02454545455,0.06408800767,7.06E-04,0.001586495247,0.005621517997,0.01469802719,11,0,0,0
